IDPIF,SUPQUEMADA,RADIO_M,MUERTOS,HERIDOS,IDCOMUNIDAD,COMUNIDAD,IDPROVINCIA,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,RES_GRP_CAUSA,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2001370085,1450.0000,2148.36,0,0,17,CASTILLA Y LEON,37,SALAMANCA,VITIGUDINO,BARRUECOPARDO,41.06989200,-6.66190200,2001-08-07,1680,3270,1,4,Sin datos,364,22,5,0,423419
2011460066,1449.3000,2147.85,0,0,9,C. VALENCIANA,46,VALENCIA,LA VALL D ALBAIDA,BENICOLET,38.93085200,-0.32144900,2011-04-08,4127,8507,1,4,Provocados por cazadores para facilitar la caza,3979,72,27,0,787515
2011070065,1443.1900,2143.31,0,0,15,ILLES BALEARS,7,ILLES BALEARS,IBIZA,SANT JOAN DE LABRITJA,39.04008600,1.51439000,2011-05-25,7439,13319,0,2,OTRAS NEGLIGENCIAS (ACTIVIDADES APÍCOLAS),688,31,22,0,0
2009250089,1443.0000,2143.17,0,0,2,CATALUÑA,25,LLEIDA,L URGELL,AGRAMUNT,41.83789600,1.09147900,2009-07-17,1712,6755,0,3,LÍNEAS ELÉCTRICAS,315,50,10,0,0
2007440075,1436.1700,2138.09,1,0,10,ARAGON,44,TERUEL,CUENCAS MINERAS,TORRE DE LAS ARCAS,40.86434600,-0.74309500,2007-08-01,1670,3170,0,5,CAUSA DESCONOCIDA,204,20,8,181085,4927739
2006220104,1435.6100,2137.68,0,0,10,ARAGON,22,HUESCA,LA LITERA/LA LLITERA,PERALTA DE CALASANZ,42.00512200,0.37916400,2006-08-12,2946,4780,0,2,OTRAS NEGLIGENCIAS (ACTIVIDADES APÍCOLAS),266,70,12,0,20806492
2003130103,1431.7800,2134.82,0,0,11,CASTILLA-MANCHA,13,CIUDAD REAL,MONTES SUR,SACERUELA,38.96352500,-4.60247300,2003-08-02,1705,2965,1,4,Sin datos,84,16,4,66000,1737425
2006321210,1428.0000,2132.00,0,0,3,GALICIA,32,OURENSE,VERIN-VIANA,"GUDIÑA, A",42.03576600,-7.18097000,2006-08-12,1670,3866,1,4,Provocados por pirómanos,71,16,7,0,4459322
2002490316,1418.2300,2124.70,0,0,17,CASTILLA Y LEON,49,ZAMORA,ALCAÑICES,PORTUGAL,41.82222900,-6.54394300,2002-08-16,1080,3780,1,4,Sin datos,153,21,22,0,1010768
2006100036,1407.3900,2116.56,0,0,14,EXTREMADURA,10,CACERES,CACERES-CENTRO,CAÑAVERAL,39.80004000,-6.38269500,2006-07-12,103,1205,0,3,MOTORES Y MÁQUINAS (SIN ESPECIFICAR),175,48,14,0,0
2013100215,1378.1300,2094.45,0,0,14,EXTREMADURA,10,CACERES,CACERES-CENTRO,TRUJILLO,39.43742400,-5.82351800,2013-07-26,455,1895,0,2,FUMADORES,199,17,9,0,0
2005130129,1373.0000,2090.54,0,0,11,CASTILLA-MANCHA,13,CIUDAD REAL,PASTOS,PUERTOLLANO,38.68383200,-4.07868800,2005-07-16,1426,4696,1,4,Provocados por pirómanos,103,18,6,174901,2033002
